customer_id,gender,age,tenure,contract_type,internet_service,phone_service,monthly_charges,total_charges,payment_method,paperless_billing,customer_support_calls,number_of_services,has_streaming,has_online_security,churn,avg_spend_per_month,churn_prediction,churn_probability
32,Male,43,40,Monthly,DSL,No,65.61,3638.98,Card,No,8,3,Yes,No,No,90.9745,True,0.5285591579611413
34,Female,39,6,2-Year,Fiber,No,25.22,7874.31,Bank Transfer,No,0,5,Yes,Yes,No,1312.385,False,0.3881632834320983
35,Female,44,19,Monthly,Fiber,Yes,118.1,2408.77,Bank Transfer,Yes,5,4,Yes,No,Yes,126.77736842105263,True,0.8955780104834498
38,Male,50,59,Monthly,DSL,Yes,82.95,4560.29,Card,Yes,4,2,Yes,Yes,Yes,77.29305084745762,False,0.4963315763877852
39,Male,51,48,Monthly,DSL,Yes,75.49,2093.35,Card,Yes,5,3,Yes,No,Yes,43.61145833333333,True,0.5690111545421183
40,Male,58,41,Yearly,Fiber,No,55.67,7330.79,Bank Transfer,No,8,5,Yes,Yes,No,178.799756097561,False,0.056640228119300015
44,Female,65,42,Monthly,Fiber,Yes,100.23,5286.85,Card,Yes,3,1,Yes,Yes,Yes,125.87738095238096,True,0.7312398892211909
47,Female,34,38,Monthly,Fiber,Yes,60.38,7749.78,UPI,Yes,4,2,No,Yes,No,203.9415789473684,True,0.6114323519929588
48,Male,22,60,Yearly,DSL,Yes,38.23,3677.78,Card,Yes,3,1,Yes,Yes,No,61.29633333333334,False,0.04269649283471266
49,Female,48,7,Monthly,DSL,Yes,92.73,7571.15,Card,Yes,1,3,Yes,No,Yes,1081.5928571428572,True,0.9140467680648953
50,Female,22,5,Yearly,Fiber,No,66.42,5446.88,Card,Yes,5,5,Yes,No,Yes,1089.376,False,0.38004458304617844
52,Female,20,58,Monthly,Fiber,Yes,75.57,1587.59,Card,Yes,0,1,No,Yes,Yes,27.372241379310342,True,0.6679418549472181
53,Male,40,31,Yearly,DSL,Yes,119.53,2499.51,Bank Transfer,Yes,6,5,No,Yes,No,80.62935483870969,False,0.19328011205102555
54,Female,54,23,Monthly,DSL,Yes,57.88,834.84,Bank Transfer,Yes,5,1,No,Yes,No,36.297391304347826,True,0.5669700428647124
55,Male,54,42,Monthly,Fiber,Yes,111.28,1236.56,Bank Transfer,Yes,2,1,Yes,Yes,No,29.44190476190476,True,0.7205671200509791
56,Female,27,10,2-Year,Fiber,Yes,47.95,926.82,UPI,Yes,0,4,No,Yes,Yes,92.682,False,0.35126648144529815
57,Female,27,32,Monthly,DSL,Yes,16.02,3441.25,Card,Yes,3,4,No,Yes,Yes,107.5390625,False,0.44782873236595444
58,Male,36,53,Yearly,Fiber,No,32.47,6385.07,Card,Yes,8,4,Yes,Yes,No,120.47301886792452,False,0.03574523368115288
59,Male,34,30,Monthly,DSL,Yes,56.06,1216.93,Card,No,1,2,Yes,Yes,Yes,40.56433333333334,True,0.5435696516347154
60,Male,38,39,Yearly,Fiber,Yes,34.16,1129.53,UPI,Yes,2,4,Yes,No,No,28.962307692307693,False,0.08329235385190577
61,Male,31,31,Monthly,Fiber,No,10.02,5183.09,UPI,Yes,1,1,No,Yes,No,167.19645161290322,False,0.4049198704079813
62,Male,26,2,Monthly,Fiber,Yes,110.65,1657.75,UPI,Yes,1,3,No,Yes,Yes,828.875,True,0.8824321787674532
63,Male,63,12,2-Year,DSL,Yes,102.83,871.12,UPI,Yes,9,4,Yes,No,Yes,72.59333333333333,False,0.336803962280776
64,Male,18,39,Yearly,Fiber,Yes,91.65,1418.1,Bank Transfer,No,7,4,No,No,No,36.36153846153846,False,0.1420411376745444
65,Male,68,66,Monthly,DSL,Yes,28.46,7397.48,UPI,Yes,2,3,Yes,No,Yes,112.0830303030303,False,0.34035778097092906
66,Female,62,13,Monthly,DSL,Yes,23.24,6589.62,UPI,Yes,6,1,No,No,No,506.89384615384614,True,0.5336802081146982
67,Female,30,46,2-Year,Fiber,No,17.44,2897.11,UPI,Yes,7,2,Yes,No,No,62.98065217391304,False,0.13605661485540166
68,Male,21,27,Monthly,Fiber,Yes,89.64,5280.98,Card,Yes,2,4,No,No,Yes,195.59185185185183,True,0.8017819026740344
69,Female,18,17,Yearly,DSL,Yes,112.17,4344.48,Card,No,1,3,No,Yes,Yes,255.5576470588235,False,0.3777224544633246
70,Female,66,60,Yearly,DSL,Yes,57.36,5449.28,Card,Yes,7,1,No,No,No,90.82133333333333,False,0.06131044648631247
72,Female,49,35,Monthly,DSL,Yes,66.36,5067.0,Bank Transfer,Yes,6,2,Yes,No,No,144.77142857142857,True,0.6716027473714145
76,Female,25,63,2-Year,Fiber,No,89.06,7138.69,Card,Yes,2,4,No,No,No,113.31253968253968,False,0.42424935176137396
77,Female,56,28,Monthly,Fiber,Yes,22.17,4599.03,Bank Transfer,Yes,6,5,Yes,No,Yes,164.2510714285714,True,0.5206502568489297
78,Female,43,60,Yearly,DSL,Yes,13.91,6675.89,Bank Transfer,Yes,5,2,Yes,Yes,No,111.26483333333334,False,0.033364415441941485
80,Female,20,22,Monthly,Fiber,Yes,35.6,1392.57,UPI,Yes,2,1,No,No,Yes,63.29863636363636,True,0.6756062255604901
81,Male,67,68,Monthly,Fiber,Yes,15.92,5565.04,Bank Transfer,Yes,2,5,Yes,Yes,Yes,81.83882352941177,False,0.23523345948267416
82,Female,29,20,Monthly,Fiber,Yes,30.89,5426.92,UPI,Yes,3,3,Yes,Yes,Yes,271.346,True,0.6042095026647792
83,Male,18,68,Monthly,Fiber,Yes,14.29,7841.65,Bank Transfer,Yes,2,3,No,No,No,115.31838235294117,False,0.34464655329263333
84,Female,61,64,Monthly,Fiber,Yes,53.1,7886.25,Bank Transfer,No,8,3,No,No,No,123.22265625,False,0.40552357221058044
89,Female,65,10,Monthly,DSL,Yes,65.98,6267.52,Card,Yes,4,2,Yes,Yes,Yes,626.7520000000001,True,0.7126450112617982
91,Female,40,22,Monthly,Fiber,Yes,105.26,3124.38,Card,Yes,5,4,Yes,No,Yes,142.01727272727274,True,0.8615346836868865
93,Female,54,14,Monthly,DSL,Yes,95.59,3498.13,UPI,Yes,6,5,No,No,Yes,249.86642857142857,True,0.8248434261344214
94,Female,38,64,Monthly,Fiber,Yes,60.68,3558.34,UPI,Yes,9,4,No,Yes,No,55.5990625,False,0.3838892246007964
98,Female,68,52,Yearly,Fiber,Yes,93.0,7531.93,Card,Yes,6,4,No,Yes,No,144.8448076923077,False,0.11398912034358367
99,Female,56,7,Monthly,Fiber,Yes,37.35,1480.77,Bank Transfer,Yes,4,3,Yes,Yes,No,211.53857142857143,True,0.6098518784306086
100,Male,55,29,2-Year,DSL,Yes,69.22,7010.47,UPI,Yes,4,4,Yes,No,No,241.74034482758623,False,0.2704740904010765
101,Male,51,11,Monthly,Fiber,Yes,119.13,5925.71,Card,Yes,1,3,Yes,Yes,Yes,538.7009090909091,True,0.8677976095632824
102,Female,55,33,Monthly,Fiber,Yes,104.33,2097.42,UPI,Yes,6,1,Yes,No,Yes,63.55818181818182,True,0.7913231764328235
104,Female,51,32,Monthly,Fiber,Yes,87.7,2217.18,UPI,Yes,0,2,Yes,Yes,Yes,69.286875,True,0.7828609834005222
107,Female,32,26,2-Year,Fiber,No,54.38,5796.33,UPI,Yes,2,4,Yes,Yes,No,222.93576923076924,False,0.34741423571766633
108,Female,44,46,Monthly,DSL,Yes,35.82,2131.5,Bank Transfer,Yes,6,4,No,No,Yes,46.33695652173913,False,0.4756104922308571
109,Female,68,29,Monthly,DSL,Yes,100.08,5783.17,Card,Yes,9,3,No,Yes,No,199.4196551724138,True,0.6439747516473567
110,Male,51,4,Monthly,Fiber,Yes,47.11,322.16,UPI,Yes,3,2,No,No,Yes,80.54,True,0.6335411620727929
111,Female,69,13,Monthly,DSL,No,101.03,3065.04,Card,Yes,7,3,Yes,Yes,Yes,235.7723076923077,True,0.7851606263292744
114,Female,41,29,Yearly,Fiber,Yes,36.53,6601.73,Bank Transfer,Yes,4,4,No,No,No,227.6458620689655,False,0.12355127774139771
115,Male,32,29,Monthly,DSL,No,35.69,1956.75,UPI,Yes,3,3,Yes,Yes,Yes,67.47413793103448,False,0.4963444580608614
116,Female,47,32,Yearly,DSL,Yes,17.5,5253.02,Bank Transfer,Yes,9,5,No,Yes,No,164.156875,False,0.03782036786767265
118,Female,68,47,2-Year,Fiber,Yes,71.11,4808.74,Card,Yes,9,2,Yes,Yes,No,102.31361702127658,False,0.13651030693693353
119,Female,34,22,Monthly,DSL,Yes,42.05,948.86,UPI,Yes,3,5,No,Yes,No,43.13,True,0.5950296647218731
120,Male,22,27,Yearly,Fiber,Yes,55.91,233.61,Card,Yes,7,3,Yes,Yes,No,8.652222222222223,False,0.07111894641569859
121,Female,46,67,Monthly,DSL,Yes,51.46,7285.56,UPI,Yes,2,4,Yes,Yes,No,108.73970149253732,False,0.4927844413232684
124,Male,34,47,Monthly,Fiber,Yes,64.23,7994.87,Bank Transfer,Yes,5,4,No,No,No,170.1036170212766,True,0.5721504894016222
126,Female,34,6,Monthly,DSL,Yes,21.75,2194.85,UPI,Yes,7,5,No,No,Yes,365.80833333333334,True,0.5869354300457442
128,Male,41,57,2-Year,Fiber,Yes,16.62,7727.04,UPI,Yes,7,1,Yes,No,No,135.5621052631579,False,0.06341420092634485
129,Female,22,69,Yearly,Fiber,Yes,42.74,7334.93,Card,Yes,7,3,No,Yes,No,106.30333333333334,False,0.04335465838466086
130,Female,51,3,Monthly,Fiber,Yes,42.79,4072.72,Card,Yes,2,4,No,No,Yes,1357.5733333333333,True,0.79636684336782
131,Female,23,1,Yearly,DSL,Yes,45.24,6381.37,UPI,No,3,4,No,No,No,6381.37,True,0.5511808662280896
132,Male,19,58,Monthly,DSL,Yes,28.07,1172.39,Bank Transfer,No,3,4,No,No,No,20.213620689655173,False,0.3682310481312761
133,Male,30,38,Monthly,DSL,Yes,96.15,7821.76,Bank Transfer,Yes,4,5,Yes,Yes,No,205.83578947368423,True,0.7094624708068527
134,Male,60,15,Yearly,DSL,Yes,23.47,7718.39,Bank Transfer,Yes,8,3,No,No,No,514.5593333333334,False,0.054117951984929136
135,Male,60,34,Monthly,DSL,Yes,79.84,1393.46,UPI,Yes,8,2,Yes,Yes,No,40.984117647058824,False,0.46488664568220944
137,Male,28,35,2-Year,DSL,No,17.76,891.22,UPI,Yes,0,3,No,No,No,25.463428571428572,False,0.1704426013793617
138,Male,68,64,Monthly,DSL,Yes,110.04,2246.57,Card,Yes,7,3,No,Yes,No,35.10265625,False,0.4724312045311786
140,Male,40,24,2-Year,DSL,Yes,100.34,3088.69,Card,Yes,1,4,No,No,Yes,128.69541666666666,False,0.46149104073105196
141,Female,33,12,Monthly,Fiber,No,69.91,798.34,Bank Transfer,Yes,6,5,Yes,No,No,66.52833333333334,True,0.8165079220267437
142,Male,48,18,Yearly,DSL,Yes,18.56,2803.58,UPI,Yes,7,3,Yes,No,No,155.75444444444443,False,0.051772386904228015
143,Female,28,15,2-Year,DSL,Yes,115.1,7852.93,UPI,No,0,3,No,Yes,No,523.5286666666667,True,0.6285831694144934
144,Female,33,27,2-Year,Fiber,Yes,37.17,5074.5,UPI,Yes,2,2,Yes,Yes,No,187.94444444444446,False,0.22293474978130953
145,Female,25,60,Yearly,Fiber,Yes,104.56,3387.67,UPI,Yes,6,1,Yes,No,Yes,56.46116666666667,False,0.20145379915719794
146,Male,21,46,Monthly,Fiber,Yes,28.57,1415.65,Bank Transfer,Yes,8,3,Yes,No,No,30.775000000000002,False,0.35717036553466774
147,Male,57,17,Monthly,Fiber,Yes,103.93,7890.8,Card,No,7,3,No,Yes,Yes,464.16470588235296,True,0.6701561271131838
148,Male,21,53,Yearly,DSL,Yes,11.46,6584.71,UPI,Yes,7,5,Yes,Yes,No,124.23981132075471,False,0.024478096230775594
149,Male,42,8,2-Year,Fiber,Yes,66.3,2323.67,Bank Transfer,No,8,5,Yes,No,No,290.45875,False,0.26170688109654333
150,Female,20,27,Monthly,Fiber,Yes,94.64,653.54,Card,Yes,9,2,No,Yes,No,24.205185185185183,True,0.6791048181698154
152,Male,20,50,Monthly,Fiber,Yes,110.01,1050.99,Card,Yes,7,2,Yes,Yes,Yes,21.0198,True,0.628520379074865
153,Male,44,71,Monthly,Fiber,Yes,100.16,4688.07,UPI,Yes,0,5,Yes,No,Yes,66.02915492957746,True,0.7253849833069882
156,Female,67,44,2-Year,DSL,Yes,41.26,6759.27,UPI,Yes,7,4,No,Yes,No,153.61977272727273,False,0.10061497367513703
158,Female,36,24,Monthly,DSL,Yes,51.48,5697.81,Card,Yes,5,1,Yes,No,No,237.40875000000003,True,0.6711155721956285
161,Male,35,20,Monthly,DSL,Yes,27.59,2953.61,Card,Yes,4,4,No,No,Yes,147.6805,False,0.49293537358677436
163,Female,59,15,Yearly,DSL,Yes,28.43,658.5,Card,Yes,2,1,Yes,Yes,No,43.9,False,0.08376686525406968
165,Female,38,71,Monthly,Fiber,Yes,65.37,4324.92,UPI,Yes,6,1,Yes,Yes,No,60.9143661971831,False,0.4375469668829413
167,Female,18,9,Yearly,DSL,Yes,91.34,3848.82,Bank Transfer,Yes,1,5,No,No,No,427.6466666666667,False,0.4547520983933882
169,Male,58,48,Monthly,DSL,Yes,27.14,3513.33,Card,Yes,7,4,Yes,Yes,No,73.194375,False,0.23218235764342088
170,Female,29,60,Monthly,DSL,Yes,70.17,6391.49,Card,Yes,9,2,No,Yes,Yes,106.52483333333333,False,0.4319286879515763
171,Female,43,63,Yearly,Fiber,Yes,19.62,4803.78,Bank Transfer,No,5,4,No,No,No,76.25047619047619,False,0.04228027092572909
172,Male,63,2,Monthly,Fiber,No,51.51,7104.1,Card,Yes,0,2,Yes,No,Yes,3552.05,True,0.8803919827567249
173,Male,51,11,Yearly,DSL,Yes,55.49,3346.45,UPI,Yes,9,5,Yes,No,No,304.22272727272724,False,0.09918508470784006
175,Female,31,21,Monthly,DSL,Yes,40.14,5077.15,UPI,Yes,6,2,Yes,No,No,241.7690476190476,True,0.6316662296417246
176,Female,43,18,Monthly,DSL,Yes,115.12,3397.33,UPI,Yes,5,1,Yes,No,Yes,188.74055555555555,True,0.8738725317213732
181,Male,64,45,Monthly,DSL,Yes,53.14,1968.15,UPI,Yes,6,3,Yes,No,Yes,43.73666666666667,False,0.42616167443088565
182,Male,39,33,Yearly,DSL,No,114.26,1770.9,Card,No,7,4,Yes,Yes,No,53.663636363636364,False,0.1651770429925345
183,Female,64,41,Monthly,Fiber,Yes,25.53,5914.68,Card,Yes,4,4,No,Yes,Yes,144.26048780487807,False,0.37814362853419725
184,Male,47,8,Yearly,DSL,Yes,93.99,2628.13,UPI,Yes,8,1,No,Yes,No,328.51625,False,0.13087830889203678
186,Male,65,51,Monthly,Fiber,Yes,117.94,1383.84,Bank Transfer,No,3,1,Yes,Yes,No,27.134117647058822,True,0.6469860145832022
188,Male,43,17,Monthly,DSL,Yes,95.28,6827.49,Card,No,7,3,No,No,Yes,401.6170588235294,True,0.71470412769197
189,Male,53,46,2-Year,Fiber,No,47.69,6923.94,Card,Yes,0,3,Yes,Yes,No,150.52043478260867,False,0.17550767056624278
191,Male,25,54,2-Year,Fiber,Yes,31.12,6122.65,UPI,Yes,4,2,Yes,Yes,No,113.3824074074074,False,0.08647911570821407
192,Male,66,20,Monthly,Fiber,Yes,26.06,1236.62,UPI,No,0,2,No,Yes,Yes,61.830999999999996,False,0.3944022185249086
193,Male,52,33,Monthly,DSL,Yes,113.19,168.09,UPI,Yes,3,4,Yes,No,Yes,5.093636363636364,True,0.7977539174223622
195,Male,32,32,Monthly,Fiber,Yes,107.62,4734.15,UPI,No,3,3,Yes,Yes,No,147.9421875,True,0.7406467735893344
196,Female,64,2,Monthly,Fiber,Yes,78.8,3697.62,Bank Transfer,Yes,7,4,Yes,No,No,1848.81,True,0.8526231885009468
198,Female,31,30,Monthly,Fiber,Yes,17.59,158.96,UPI,Yes,0,3,Yes,Yes,No,5.298666666666667,True,0.5257385318618111
199,Male,43,33,Monthly,Fiber,Yes,46.83,3439.22,Bank Transfer,Yes,6,1,No,Yes,No,104.21878787878788,False,0.37947613927917784
200,Male,45,26,Yearly,Fiber,Yes,44.51,5772.74,UPI,No,0,1,No,Yes,No,222.02846153846153,False,0.07865574395179112
205,Female,62,15,2-Year,DSL,Yes,99.58,4748.61,Bank Transfer,Yes,9,1,No,No,No,316.57399999999996,False,0.38196502738824656
206,Male,43,44,Monthly,Fiber,Yes,52.03,1765.03,Card,Yes,5,3,No,No,Yes,40.114318181818184,False,0.46045774447306365
208,Female,68,61,2-Year,Fiber,Yes,31.64,5061.44,UPI,Yes,0,3,No,No,No,82.9744262295082,False,0.15045286913248884
209,Female,24,67,Yearly,Fiber,Yes,36.12,6656.52,Bank Transfer,Yes,4,4,Yes,Yes,No,99.35104477611941,False,0.05761484194005657
210,Male,20,6,Yearly,DSL,Yes,42.99,3383.46,Bank Transfer,Yes,5,2,Yes,No,No,563.91,False,0.1414429163632305
213,Male,63,32,Yearly,Fiber,No,86.57,5387.22,UPI,No,4,5,No,No,Yes,168.350625,False,0.16566870238763648
215,Male,64,8,Yearly,Fiber,Yes,100.64,3954.41,UPI,Yes,1,3,Yes,Yes,No,494.30125,False,0.26315498990448183
216,Male,62,50,Monthly,Fiber,Yes,32.45,1713.63,UPI,Yes,7,3,Yes,No,No,34.272600000000004,False,0.3050579868931951
217,Female,35,62,Yearly,DSL,Yes,61.59,5051.74,Bank Transfer,Yes,6,1,No,Yes,No,81.47967741935483,False,0.060904259080113474
218,Male,55,62,Monthly,DSL,No,98.1,2934.07,Card,Yes,9,3,No,No,Yes,47.32370967741936,True,0.5311905392902198
219,Female,52,7,Monthly,DSL,Yes,29.82,7965.6,UPI,Yes,6,2,Yes,No,Yes,1137.9428571428573,True,0.660320049780791
220,Male,68,4,Monthly,Fiber,No,22.08,3893.45,Card,No,4,1,Yes,Yes,Yes,973.3625,False,0.4620749077123221
222,Male,42,58,Monthly,DSL,No,47.72,4570.23,Bank Transfer,Yes,4,3,Yes,Yes,Yes,78.79706896551724,False,0.40072489811292594
224,Female,45,26,Monthly,DSL,Yes,12.79,6426.46,Bank Transfer,Yes,2,1,No,Yes,Yes,247.17153846153846,False,0.43945289952410915
225,Female,27,3,Monthly,DSL,Yes,85.91,3663.93,UPI,No,3,5,No,Yes,Yes,1221.31,True,0.8503104320665751
226,Female,56,41,Yearly,Fiber,Yes,44.77,5777.72,Card,No,4,5,Yes,Yes,No,140.92000000000002,False,0.07163955043295302
227,Male,34,60,Monthly,DSL,Yes,16.13,4731.26,UPI,No,2,5,No,Yes,Yes,78.85433333333334,False,0.24246970860406888
228,Female,56,14,Monthly,DSL,Yes,77.08,3989.7,UPI,Yes,6,4,No,No,No,284.9785714285714,True,0.7548421966148489
229,Male,39,12,Yearly,Fiber,Yes,36.49,1619.29,Card,Yes,4,5,Yes,No,No,134.94083333333333,False,0.10745750093566173
231,Female,61,13,Monthly,DSL,Yes,18.86,2041.97,UPI,Yes,5,3,Yes,No,Yes,157.07461538461538,True,0.5282035580475316
232,Female,42,25,2-Year,Fiber,Yes,26.19,7327.25,Bank Transfer,Yes,6,4,Yes,No,No,293.09,False,0.2010141044332163
233,Female,34,45,2-Year,DSL,Yes,42.78,2749.71,UPI,Yes,9,5,Yes,No,No,61.10466666666667,False,0.14865501979397894
234,Female,30,19,Monthly,Fiber,Yes,19.87,7622.89,Card,Yes,9,3,Yes,No,No,401.20473684210526,True,0.5053605329512695
237,Female,21,8,Yearly,Fiber,Yes,63.22,4389.23,Card,No,3,3,No,No,No,548.65375,False,0.2560842967074331
238,Female,27,53,Monthly,Fiber,No,23.56,1122.11,Bank Transfer,Yes,4,2,No,No,Yes,21.171886792452828,False,0.4864565627429095
239,Male,20,55,Yearly,Fiber,Yes,43.84,3068.99,Card,Yes,4,3,No,No,No,55.799818181818175,False,0.06212586170119474
241,Female,62,51,Monthly,DSL,Yes,27.79,5021.34,Card,Yes,8,4,Yes,No,Yes,98.45764705882353,False,0.3554548802644318
243,Female,64,70,Yearly,Fiber,Yes,32.64,6246.08,Card,No,4,1,Yes,Yes,No,89.22971428571428,False,0.03050607507611516
244,Male,53,18,Monthly,Fiber,Yes,91.57,1841.72,Card,Yes,2,5,No,No,No,102.31777777777778,True,0.7809286940529345
246,Female,39,37,Monthly,Fiber,Yes,107.29,3310.02,Card,Yes,8,3,Yes,No,Yes,89.46,True,0.7797334228756457
248,Male,64,59,Monthly,Fiber,Yes,68.8,5712.33,UPI,Yes,8,1,Yes,No,No,96.81915254237288,False,0.39885944522485506
249,Male,25,3,Yearly,DSL,No,31.5,3409.5,UPI,Yes,9,2,Yes,No,No,1136.5,False,0.11112937720939628
250,Male,57,28,Monthly,DSL,No,28.29,4186.45,Card,No,3,4,Yes,No,No,149.51607142857142,False,0.4840678707491827
251,Female,66,35,Monthly,Fiber,Yes,110.81,765.28,UPI,Yes,4,5,No,Yes,Yes,21.865142857142857,True,0.7560327908125968
253,Female,36,54,Monthly,DSL,Yes,50.93,5364.62,UPI,Yes,1,1,No,No,Yes,99.34481481481481,True,0.6056582029756097
255,Male,58,7,Monthly,Fiber,Yes,47.27,4727.89,Card,No,7,3,No,No,No,675.4128571428572,True,0.5342663810886641
257,Male,23,31,Monthly,DSL,Yes,91.17,7730.11,Card,Yes,4,2,No,No,Yes,249.35838709677418,True,0.7394801432545455
260,Male,51,24,Monthly,Fiber,No,15.46,2039.09,Card,Yes,7,3,No,Yes,No,84.96208333333333,False,0.28424241979288045
261,Male,62,20,Monthly,Fiber,Yes,38.28,5768.73,Bank Transfer,Yes,6,3,No,Yes,Yes,288.43649999999997,False,0.3870772030588257
262,Female,23,37,Monthly,Fiber,Yes,61.15,6236.89,Bank Transfer,Yes,3,1,No,No,Yes,168.5645945945946,True,0.7103300074080157
263,Male,54,4,Monthly,DSL,Yes,34.97,5420.02,UPI,Yes,5,5,No,No,Yes,1355.005,True,0.620758360222331
264,Male,50,20,2-Year,DSL,Yes,91.83,4954.55,Bank Transfer,No,3,4,No,Yes,No,247.72750000000002,False,0.28934039071296097
265,Male,39,60,Monthly,Fiber,Yes,111.11,7150.51,UPI,Yes,6,4,Yes,Yes,No,119.17516666666667,True,0.6165202976709493
266,Female,38,24,Yearly,Fiber,No,56.61,721.15,Card,Yes,0,3,No,No,No,30.047916666666666,False,0.23351674453943086
267,Female,23,50,Yearly,DSL,Yes,47.63,2714.23,UPI,Yes,4,2,No,Yes,No,54.2846,False,0.07020280986108512
268,Female,23,49,Yearly,DSL,Yes,115.77,2061.47,Card,No,9,2,Yes,No,Yes,42.07081632653061,False,0.19200438337207784
269,Male,65,51,Monthly,DSL,Yes,58.93,7905.31,Card,No,9,5,No,Yes,No,155.00607843137254,False,0.26608086060884234
270,Male,21,36,Monthly,DSL,Yes,63.8,3176.18,Card,No,3,2,Yes,Yes,No,88.22722222222222,True,0.5230482888205265
271,Female,47,66,Yearly,Fiber,Yes,48.68,5887.64,Card,Yes,6,4,No,No,No,89.20666666666668,False,0.06272485406334966
272,Female,28,34,2-Year,DSL,Yes,110.05,5509.33,Card,No,8,2,No,No,Yes,162.03911764705882,False,0.3884883591281623
273,Female,47,36,Monthly,Fiber,Yes,72.59,1775.44,UPI,Yes,4,5,Yes,No,No,49.31777777777778,True,0.7276462084942006
276,Female,26,42,2-Year,DSL,Yes,47.6,3347.91,Bank Transfer,Yes,4,4,No,Yes,No,79.71214285714285,False,0.1742478429643597
280,Female,57,18,Monthly,DSL,Yes,97.33,7728.32,UPI,No,6,2,No,No,Yes,429.3511111111111,True,0.788443838290362
281,Female,54,40,Monthly,DSL,Yes,113.51,2798.41,Card,Yes,4,5,No,Yes,Yes,69.96025,True,0.7588231701314033
283,Female,41,15,2-Year,Fiber,Yes,91.58,156.03,Card,Yes,3,1,Yes,No,No,10.402,False,0.49370415545187596
285,Female,23,8,Monthly,DSL,Yes,102.95,6620.98,Bank Transfer,Yes,4,3,Yes,No,Yes,827.6225,True,0.9122972982605316
286,Male,19,42,Monthly,DSL,Yes,53.46,1258.21,UPI,Yes,8,1,Yes,No,Yes,29.95738095238095,False,0.44551475049154304
287,Male,37,44,Monthly,DSL,Yes,15.64,1361.36,Bank Transfer,Yes,8,1,Yes,No,No,30.939999999999998,False,0.25811397829750343
289,Male,28,2,Monthly,Fiber,Yes,84.11,4968.7,Bank Transfer,No,3,4,No,No,Yes,2484.35,True,0.8796819817559111
290,Female,21,37,Monthly,DSL,Yes,59.54,454.4,UPI,Yes,1,3,Yes,No,No,12.28108108108108,True,0.7391999293164004
